id_question, question, question_complexity
1, "What is the number of the bidding process with the highest value in 2024?", "Simple"
2, "What is the value of the highest bidding process in 2023?", "Simple"
3, "What is the occurrence of bidding number 681?", "Simple"
4, "Which bidding processes were registered in 2024 with the purpose of acquiring books?", "Simple"
5, "Which was the bidding process with the highest adjudicated value in 2023?", "Simple"
6, "What phase is bidding process 710 currently in?", "Simple"
7, "Which were the 3 bidding processes with the highest adjudicated values in 2024?", "Simple"
8, "What is the value of bidding number 759?", "Simple"
9, "What is the modality of the most recent bidding process related to medicine?", "Medium"
10, "What is the average estimated value of the bidding processes registered in 2023?", "Medium"
11, "How many bidding processes opened in 2024 have an estimated value above 1 million reais?", "Medium"
12, "How many bidding processes were conducted by the entity TRIBUNAL DE JUSTIÇA in 2024?", "Medium"
13, "What was the bidding process with the highest adjudicated value in 2023 by the entity PREFEITURA MUNICIPAL DE PORTO ACRE?", "Medium"
14, "How many bidding processes with estimated values between 500 thousand and 1 million reais were registered in 2023?", "Medium"
15, "Which entity is responsible for the most recently registered bidding process?", "Medium"
16, "How many bidding processes exist under the 'Concurso' modality?", "Medium"
17, "Which were the 3 entities that conducted the most bidding processes in the last 5 years and what was the total adjudicated value by each?", "Complex"
18, "How many bidding processes had estimated values above the average of all bidding processes in the same year?", "Complex"
19, "How many bidding processes exist by phase?", "Complex"
20, "How many bidding processes were opened per month in the last 6 months?", "Complex"
21, "Which entity registered the most bidding processes?", "Complex"
22, "How many bidding processes were registered per year starting from 2020?", "Complex"
23, "Which organization registered the fewest bidding processes?", "Complex"
24, "Which entities registered more than 100 bidding processes in 2023, and what was the total adjudicated amount for each?", "Complex"
