ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT TOP 1 NUMERO_LICITACAO FROM Licitacao WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC,llama3-8b-8192
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC LIMIT 1;,llama3-8b-8192
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",SELECT TOP 1 VALOR_ESTIMADO FROM Licitacao WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC;,llama3-8b-8192
3," ""Quais são os órgãos responsáveis pelas licitações cadastradas em 2024?""",SELECT DISTINCT ORGAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 (`Distinct` utilizado para retornar apenas os valores únicos do campo ORGAO),llama3-8b-8192
4," ""Quantas licitações foram cadastradas no ano de 2024?""",SELECT COUNT(*) FROM Licitacao WHERE ANO_LICITACAO = 2024;,llama3-8b-8192
5," ""Quais foram os números das licitações abertas em janeiro de 2024?""",SELECT NUMERO_LICITACAO FROM Licitacao WHERE ANO_LICITACAO = 2024 AND MONTH(DATA_ABERTURA) = 1;,llama3-8b-8192
6," ""Qual foi o status da licitação com maior valor adjudicado em 2023?""",SELECT TOP 1 STATUS_ANALISE FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC,llama3-8b-8192
7," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000;,llama3-8b-8192
8," ""Quais licitações possuem o tipo de adjudicação como 'Menor Preço'?""",SELECT * FROM dbo.LICITACAO WHERE TIPO_ADJUDICACAO = 'Menor Preço';,llama3-8b-8192
9," ""Quais foram as 5 licitações com os maiores valores adjudicados em 2024?""",SELECT TOP 5 * FROM Licitacao WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;,llama3-8b-8192
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(VALOR_ESTIMADO) AS MediaValorEstimado FROM LICITACAO WHERE ANO_LICITACAO = 2023;,llama3-8b-8192
11," ""Qual o órgão que mais realizou licitações em 2022?""","SELECT TOP 1 ORGAO, COUNT(*) AS QTDE_LICITACOES FROM LICITACAO WHERE ANO_LICITACAO = 2022 GROUP BY ORGAO ORDER BY QTDE_LICITACOES DESC;",llama3-8b-8192
12," ""Quantas licitações foram realizadas por cada entidade no ano de 2024?""","```sql SELECT eo.NOME AS ENTIDADE, COUNT(l.NUMERO_LICITACAO) AS NUMERO_LICITACOES FROM dbo.LICITACAO l INNER JOIN dbo.ENTIDADE eo ON l.ID_ENTIDADE = eo.ID_ENTIDADE WHERE l.ANO_LICITACAO = 2024 GROUP BY eo.NOME ORDER BY ENTIDADE, NUMERO_LICITACOES DESC;",llama3-8b-8192
13," ""Quantas licitações possuem a legislação informada como ""Lei 14333""?""",SELECT COUNT(*) FROM LICITACAO WHERE ID_ENTIDADE_PARTICIPANTE IN ( SELECT ID_ENTIDADE FROM ENTIDADE WHERE LEGISLACAO LIKE '%Lei 14333%' ) OR ID_ENTIDADE IN ( SELECT ID_ENTIDADE FROM ENTIDADE WHERE LEGISLACAO LIKE '%Lei 14333%' );,llama3-8b-8192
14," ""Para cada órgão","SELECT OL.ORGAO, COUNT(*) AS QUANTIDADE_LICITACOES, SUM(L.VALOR_ESTIMADO) AS VALOR_TOTAL_ESTIMADO FROM LICITACAO L JOIN ORGAO O ON L.ORGAO = O.ORGAO GROUP BY L.ORGAO",llama3-8b-8192
