ID,Pergunta,Consulta_SQL,Modelo
2," ""Qual o valor da licitação com maior valor do ano de 2023?""","SELECT MAX(VALOR_ESTIMADO) AS ValorMaximo
FROM LICON_DEV.dbo.LICITACAO
WHERE ANO_LICITACAO = 2023;",gpt-4
1," ""Qual o número da licitação com maior valor do ano de 2024?""","SELECT TOP 1 NUMERO_LICITACAO 
FROM dbo.LICITACAO 
WHERE ANO_LICITACAO = 2024 
ORDER BY VALOR_ESTIMADO DESC",gpt-4
2," ""Qual o valor da licitação com maior valor do ano de 2023?""","SELECT MAX(VALOR_ESTIMADO) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ANO_LICITACAO = 2023;",gpt-4
3," ""Qual a ocorrência da licitação de número 681?""","SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '681';",gpt-4
4," ""Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?""","SELECT * 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ANO_LICITACAO = 2024 AND OBJETO_LICITACAO LIKE '%aquisição de livros%'",gpt-4
5," ""Qual o objeto da licitação de número 723?""","SELECT OBJETO_LICITACAO 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '723';",gpt-4
6," ""Qual foi a licitação com maior valor adjudicado em 2023?""","SELECT TOP 1 NUMERO_LICITACAO, VALOR_ADJUDICADO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2023
ORDER BY VALOR_ADJUDICADO DESC",gpt-4
7," ""Em que fase a licitação 710 se encontra?""","SELECT FASE 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '710';",gpt-4
8," ""Quais foram as 3 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 3 NUMERO_LICITACAO, VALOR_ADJUDICADO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2024
ORDER BY VALOR_ADJUDICADO DESC",gpt-4
9, Qual a licitação de menor valor estimado no ano de 2022?,"SELECT TOP 1 *
FROM LICON_DEV.dbo.LICITACAO
WHERE ANO_LICITACAO = 2022
ORDER BY VALOR_ESTIMADO ASC",gpt-4
10, Qual o valor da licitação de número 759?,"SELECT VALOR_ESTIMADO 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '759';",gpt-4
11," ""Qual a modalidade da licitação mais recente sobre medicamentos""","SELECT TOP 1 ID_MODALIDADE_LICITACAO_NOVA
FROM dbo.LICITACAO
WHERE OBJETO_LICITACAO LIKE '%medicamentos%'
ORDER BY DATA_ABERTURA DESC;",gpt-4
12," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""","SELECT AVG(VALOR_ESTIMADO) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ANO_LICITACAO = 2023;",gpt-4
13," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""","SELECT COUNT(*) 
FROM dbo.LICITACAO 
WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000;",gpt-4
14," ""Quantas licitações foram realizadas pela entidade  TRIBUNAL DE JUSTIÇA no ano de 2024?""","SELECT COUNT(*) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ID_ENTIDADE = (SELECT ID_ENTIDADE FROM LICON_DEV.dbo.ENTIDADE WHERE NOME_ENTIDADE = 'TRIBUNAL DE JUSTIÇA') 
AND ANO_LICITACAO = 2024;",gpt-4
15," ""Quantas licitações possuem a legislação informada como ""Lei 14333""?""","SELECT COUNT(*) 
FROM dbo.LICITACAO 
WHERE LEI_14333 = 1",gpt-4
16," ""Qual foi a licitação com o maior valor adjudicado em 2023 pela entidade PREFEITURA MUNICIPAL DE PORTO ACRE?""","SELECT TOP 1 NUMERO_LICITACAO, VALOR_ADJUDICADO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2023 AND ORGAO = 'PREFEITURA MUNICIPAL DE PORTO ACRE'
ORDER BY VALOR_ADJUDICADO DESC",gpt-4
