ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC LIMIT 1,mistral-saba-24b
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",select TOP 1 VALOR_ESTIMADO from dbo.LICITACAO where ANO_LICITACAO = 2023 order by  VALOR_ESTIMADO desc,mistral-saba-24b
3," ""Qual a ocorrência da licitação de número 681?""","SELECT *

FROM dbo.LICITACAO

WHERE NUMERO_LICITACAO = '681';",mistral-saba-24b
4," ""Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?""","```sql
SELECT l.NUMERO_LICITACAO, l.OBJETO_LICITACAO, l.DATA_CADASTRO_PUBLICACAO, l.ID_ENTIDADE, e.NOME AS NOME_ENTIDADE, l.VALOR_ADJUDICADO, l.VALOR_ESTIMADO, l.DATA_ABERTURA, l.STATUS_OCORRENCIA_LICITACAO_ATUAL, l.FASE
FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE
WHERE l.ANO_LICITACAO = 2024 AND l.OBJETO_LICITACAO LIKE '%livro%'```",mistral-saba-24b
5," ""Qual foi a licitação com maior valor adjudicado em 2023?""","SELECT TOP 1
    A.VALOR_ADJUDICADO,
    A.NUMERO_LICITACAO,
    A.DATA_ABERTURA,
    A.OBJETO_LICITACAO,
    B.NOME as ORGAO
FROM
    LICON_DEV.dbo.LICITACAO A
JOIN
    LICON_DEV.dbo.ENTIDADE B ON A.ID_ENTIDADE = B.ID_ENTIDADE
WHERE
    ANO_LICITACAO = 2023
ORDER BY
    VALOR_ADJUDICADO DESC",mistral-saba-24b
6," ""Em que fase a licitação 710 se encontra?""","SELECT FASE
FROM LICON_DEV.dbo.LICITACAO
WHERE NUMERO_LICITACAO = '710'",mistral-saba-24b
7," ""Quais foram as 3 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 3 LICITACAO.NUMERO_LICITACAO, LICITACAO.VALOR_ADJUDICADO, LICITACAO.OBJETO_LICITACAO
FROM dbo.ENTIDADE
JOIN dbo.LICITACAO ON dbo.ENTIDADE.[ID_ENTIDADE] = dbo.LICITACAO.[ID_ENTIDADE]
WHERE dbo.LICITACAO.ANO_LICITACAO = 2024
ORDER BY LICITACAO.VALOR_ADJUDICADO DESC;",mistral-saba-24b
8, Qual o valor da licitação de número 759?,"SELECT VALOR_ESTIMADO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE NUMERO_LICITACAO='759'",mistral-saba-24b
9," ""Qual a modalidade da licitação mais recente sobre medicamentos""","SELECT TOP 1 MODALIDADE_LICITACAO.NOME
FROM LICON_DEV.dbo.MODALIDADE_LICITACAO
JOIN LICON_DEV.dbo.LICITACAO ON LICON_DEV.dbo.MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO = LICON_DEV.dbo.LICITACAO.ID_MODALIDADE_LICITACAO_NOVA
WHERE LICON_DEV.dbo.LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos%'
ORDER BY LICON_DEV.dbo.LICITACAO.DATA_CADASTRO_PUBLICACAO DESC",mistral-saba-24b
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(LICITACAO.VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICON_DEV.dbo.LICITACAO WHERE LICITACAO.ANO_LICITACAO=2023,mistral-saba-24b
11," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""",SELECT COUNT(*) FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND STATUS_OCORRENCIA_LICITACAO_ATUAL = 'Aberta' AND VALOR_ESTIMADO > 1000000.000,mistral-saba-24b
12," ""Quantas licitações foram realizadas pela entidade  TRIBUNAL DE JUSTIÇA no ano de 2024?""","SELECT COUNT(*) FROM LICON_DEV.dbo.LICITACAO L
JOIN LICON_DEV.dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024;",mistral-saba-24b
13," ""Qual foi a licitação com o maior valor adjudicado em 2023 pela entidade PREFEITURA MUNICIPAL DE PORTO ACRE?""","SELECT
    LICITACAO.NUMERO_LICITACAO,
    LICITACAO.OBJETO_LICITACAO,
    LICITACAO.VALOR_ADJUDICADO
FROM
    LICON_DEV.dbo.LICITACAO LICITACAO
JOIN
    LICON_DEV.dbo.ENTIDADE ENT ON LICITACAO.ID_ENTIDADE = ENT.ID_ENTIDADE
WHERE
    ENT.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE'
    AND LICITACAO.ANO_LICITACAO = 2023
ORDER BY
    LICITACAO.VALOR_ADJUDICADO DESC
FETCH FIRST 1 ROW WITH TIES;",mistral-saba-24b
14," ""Quantas licitações possuem valor estimado superior a 500 mil reais e inferior a 1 milhão reais cadastradas em 2023?""",SELECT COUNT(*) FROM dbo.LICITACAO WHERE VALOR_ESTIMADO >500000 AND VALOR_ESTIMADO <1000000 AND ANO_LICITACAO = 2023,mistral-saba-24b
15, Qual a entidade responsavel pela última licitação cadastrada?,"SELECT e.NOME FROM dbo.ENTIDADE e
JOIN dbo.LICITACAO l ON e.ID_ENTIDADE = l.ID_ENTIDADE
WHERE l.DATA_CADASTRO_PUBLICACAO = (SELECT MAX(DATA_CADASTRO_PUBLICACAO) FROM dbo.LICITACAO)",mistral-saba-24b
16," Quantas licitações existem para a modalidade ""Concurso""?",SELECT COUNT(*) FROM LIÇAO;,mistral-saba-24b
17," ""Quais foram as 3 entidades que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada uma?""","SELECT TOP 3 E.NOME, SUM(L.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO
FROM LICON_DEV.dbo.LICITACAO L
JOIN LICON_DEV.dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE L.DATA_CADASTRO_PUBLICACAO >= DATEADD(YEAR, -5, GETDATE())
GROUP BY E.NOME
ORDER BY VALOR_TOTAL_ADJUDICADO DESC;",mistral-saba-24b
