ID,Pergunta,Consulta_SQL,Modelo
1," ""What is the number of the highest-value bidding process in 2024?""",SELECT NUMERO_LICITACAO FROM LICITACAO WHERE VALOR_ESTIMADO = (SELECT MAX(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = 2024) AND ANO_LICITACAO = 2024;,deepseek-r1-distill-llama-70b
2," ""What is the value of the highest-value bidding process in 2023?""",SELECT MAX(VALOR_ESTIMADO) AS MAIOR_VALOR FROM LICITACAO WHERE ANO_LICITACAO = 2023;,deepseek-r1-distill-llama-70b
3," ""Which organizations are responsible for the bidding processes registered in 2024?""",SELECT DISTINCT ORGAO FROM LICITACAO WHERE ANO_LICITACAO = 2024;,deepseek-r1-distill-llama-70b
4," ""How many bidding processes were registered in 2024?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024,deepseek-r1-distill-llama-70b
5," ""What are the numbers of the bidding processes opened in January 2024?""","SELECT NUMERO_LICITACAO FROM dbo.LICITACAO WHERE DATEPART(year, DATA_ABERTURA) = 2024 AND DATEPART(month, DATA_ABERTURA) = 1;",deepseek-r1-distill-llama-70b
6," ""What was the status of the bidding process with the highest adjudicated value in 2023?""",SELECT STATUS_ANALISE FROM LICITACAO WHERE VALOR_ADJUDICADO = (SELECT MAX(VALOR_ADJUDICADO) FROM LICITACAO WHERE ANO_LICITACAO = 2023) AND ANO_LICITACAO = 2023,deepseek-r1-distill-llama-70b
7," ""How many bidding processes opened in 2024 have an estimated value above 1 million reais?""",SELECT COUNT(ID_ENTIDADE) AS ContagemProcessos FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000.000;,deepseek-r1-distill-llama-70b
8," ""Which bidding processes have the adjudication type as 'Lowest Price'?""",SELECT * FROM LICITACAO WHERE TIPO_ADJUDICACAO = 'Menor Preço',deepseek-r1-distill-llama-70b
9," ""What were the 5 bidding processes with the highest adjudicated values in 2024?""","SELECT TOP 5 NUMERO_LICITACAO, VALOR_ADJUDICADO, ANO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;",deepseek-r1-distill-llama-70b
10," ""What is the average estimated value of the bidding processes registered in 2023?""",SELECT AVG(VALOR_ESTIMADO) AS [Média do Valor Estimado] FROM LICITACAO WHERE ANO_LICITACAO = 2023;,deepseek-r1-distill-llama-70b
11," ""Which organization conducted the most bidding processes in 2022?""","SELECT TOP 1 ORGAO, COUNT(NUMERO_LICITACAO) AS TOTAL_LICITACOES FROM LICITACAO WHERE ANO_LICITACAO = 2022 GROUP BY ORGAO ORDER BY TOTAL_LICITACOES DESC;",deepseek-r1-distill-llama-70b
12," ""How many bidding processes were conducted by each entity in 2024?""","SELECT ID_ENTIDADE, COUNT(NUMERO_LICITACAO) AS QUANTIDADE_PROCESSOS FROM LICITACAO WHERE ANO_LICITACAO = 2024 GROUP BY ID_ENTIDADE;",deepseek-r1-distill-llama-70b
13," ""How many bidding processes have the legislation specified as 'Law 14333'?""",SELECT COUNT(*) FROM LICON_DEV.dbo.LICITACAO AS L INNER JOIN LICON_DEV.dbo.LEGISLACAO AS LG ON L.ID_LEGISLACAO = LG.ID_LEGISLACAO WHERE LG.NOME_LEGISLACAO = 'Law 14333';,deepseek-r1-distill-llama-70b
14," ""For each organization","SELECT ORGAO, SUM(VALOR_ESTIMADO) AS VALOR_ESTIMADO_TOTAL FROM LICITACAO GROUP BY ORGAO;",deepseek-r1-distill-llama-70b
15," ""Which bidding processes have an estimated value above 500 thousand reais and are still under review?""",SELECT * FROM LICON_DEV.dbo.LICITACAO WHERE VALOR_ESTIMADO > 500000 AND STATUS_ANALISE = 'EM ANÁLISE',deepseek-r1-distill-llama-70b
16," ""How many bidding processes had exclusive participation in 2024?""",SELECT COUNT(*) FROM ( SELECT ID_ENTIDADE_PARTICIPANTE FROM LICITACAO WHERE ANO_LICITACAO = 2024 GROUP BY ID_ENTIDADE_PARTICIPANTE HAVING COUNT(ID_ENTIDADE_PARTICIPANTE) = 1 ) AS Subquery;,deepseek-r1-distill-llama-70b
17," ""Which were the top 3 organizations that conducted the most bidding processes in the last 5 years","SELECT TOP 3 ORGAO, COUNT(*) AS QUANTIDADE FROM LICITACAO WHERE ANO_LICITACAO >= YEAR(GETDATE()) - 5 GROUP BY ORGAO ORDER BY QUANTIDADE DESC;",deepseek-r1-distill-llama-70b
18," ""Who are the top 5 users who registered the most bidding processes in the last 12 months","SELECT TOP 5 ID_USUARIO, COUNT(ID_USUARIO) AS TOTAL_PROCESSOS FROM LICITACAO WHERE DATA_CADASTRO_PUBLICACAO >= DATEADD(year, -1, GETDATE()) GROUP BY ID_USUARIO ORDER BY TOTAL_PROCESSOS DESC;",deepseek-r1-distill-llama-70b
19," ""For each participating entity","SELECT ID_ENTIDADE_PARTICIPANTE, COUNT(*) AS CONT_LICITACOES FROM dbo.LICITACAO GROUP BY ID_ENTIDADE_PARTICIPANTE",deepseek-r1-distill-llama-70b
20," ""Which bidding processes had estimated values higher than the average of all bidding processes in the same year?""","SELECT NUMERO_LICITACAO, VALOR_ESTIMADO, ANO_LICITACAO FROM LICITACAO WHERE VALOR_ESTIMADO > ( SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = ANO_LICITACAO );",deepseek-r1-distill-llama-70b
