ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""","SELECT TOP 1 NL.NUMERO_LICITACAO
FROM LICITACAO NL
WHERE NL.ANO_LICITACAO = 2024
ORDER BY NL.VALOR_ESTIMADO DESC;",llama3-8b-8192
2," ""Qual o valor da licitação com maior valor do ano de 2023?""","SELECT TOP 1 
    VALOR_ESTIMADO 
FROM 
    LICON_DEV.dbo.LICITACAO 
WHERE 
    ANO_LICITACAO = 2023 
ORDER BY 
    VALOR_ESTIMADO DESC;",llama3-8b-8192
3," ""Qual a ocorrência da licitação de número 681?""","SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL
FROM dbo.LICITACAO
WHERE NUMERO_LICITACAO = '681';",llama3-8b-8192
4," ""Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?""","```
SELECT *
FROM LICITACAO
WHERE ANO_LICITACAO = 2024
AND OBJETO_LICITACAO LIKE '%aquisição de livros%';
```",llama3-8b-8192
5," ""Qual foi a licitação com maior valor adjudicado em 2023?""","SELECT 
    l.NUMERO_LICITACAO, 
    l.OBJETO_LICITACAO, 
    l.VALOR_ADJUDICADO
FROM 
    dbo.LICITACAO l
WHERE 
    l.ANO_LICITACAO = 2023
ORDER BY 
    l.VALOR_ADJUDICADO DESC
LIMIT 1;",llama3-8b-8192
6," ""Em que fase a licitação 710 se encontra?""","SELECT FASE
FROM LICITACAO
WHERE NUMERO_LICITACAO = '710';",llama3-8b-8192
7," ""Quais foram as 3 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 3 
    L.NUMERO_LICITACAO, 
    L.FASE, 
    L.OBJETO_LICITACAO, 
    L.VALOR_ADJUDICADO
FROM 
    LICON_DEV.dbo.LICITACAO L
WHERE 
    L.ANO_LICITACAO = 2024
ORDER BY 
    L.VALOR_ADJUDICADO DESC;",llama3-8b-8192
8, Qual o valor da licitação de número 759?,"SELECT VALOR_ESTIMADO
FROM Licon_dev.dbo.LICITACAO
WHERE NUMERO_LICITACAO = '759';",llama3-8b-8192
9," ""Qual a modalidade da licitação mais recente sobre medicamentos""","SELECT 
    ml.NOME 
FROM 
    LICITACAO l 
JOIN 
    MODALIDADE_LICITACAO ml ON l.ID_MODALIDADE_LICITACAO_NOVA = ml.ID_MODALIDADE_LICITACAO 
WHERE 
    l.OBJETO_LICITACAO LIKE '%medicamentos%' 
ORDER BY 
    l.DATA_CADASTRO_PUBLICACAO DESC 
LIMIT 1;",llama3-8b-8192
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""","SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO
FROM LICITACAO
WHERE ANO_LICITACAO = 2023",llama3-8b-8192
