ID_Pergunta,Consulta_SQL,Modelo
1,"SELECT NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC LIMIT 1",mistral-saba-24b
2,"select TOP 1 VALOR_ESTIMADO from dbo.LICITACAO where ANO_LICITACAO = 2023 order by  VALOR_ESTIMADO desc",mistral-saba-24b
3,"SELECT * FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '681';",mistral-saba-24b
4,"```sql SELECT l.NUMERO_LICITACAO, l.OBJETO_LICITACAO, l.DATA_CADASTRO_PUBLICACAO, l.ID_ENTIDADE, e.NOME AS NOME_ENTIDADE, l.VALOR_ADJUDICADO, l.VALOR_ESTIMADO, l.DATA_ABERTURA, l.STATUS_OCORRENCIA_LICITACAO_ATUAL, l.FASE FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE WHERE l.ANO_LICITACAO = 2024 AND l.OBJETO_LICITACAO LIKE '%livro%'```",mistral-saba-24b
5,"SELECT TOP 1 A.VALOR_ADJUDICADO, A.NUMERO_LICITACAO, A.DATA_ABERTURA, A.OBJETO_LICITACAO, B.NOME as ORGAO FROM LICON_DEV.dbo.LICITACAO A JOIN LICON_DEV.dbo.ENTIDADE B ON A.ID_ENTIDADE = B.ID_ENTIDADE WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC",mistral-saba-24b
6,"SELECT FASE FROM LICON_DEV.dbo.LICITACAO WHERE NUMERO_LICITACAO = '710'",mistral-saba-24b
7,"SELECT TOP 3 LICITACAO.NUMERO_LICITACAO, LICITACAO.VALOR_ADJUDICADO, LICITACAO.OBJETO_LICITACAO FROM dbo.ENTIDADE JOIN dbo.LICITACAO ON dbo.ENTIDADE.[ID_ENTIDADE] = dbo.LICITACAO.[ID_ENTIDADE] WHERE dbo.LICITACAO.ANO_LICITACAO = 2024 ORDER BY LICITACAO.VALOR_ADJUDICADO DESC;",mistral-saba-24b
8,"SELECT VALOR_ESTIMADO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE NUMERO_LICITACAO='759'",mistral-saba-24b
9,"SELECT TOP 1 MODALIDADE_LICITACAO.NOME FROM LICON_DEV.dbo.MODALIDADE_LICITACAO JOIN LICON_DEV.dbo.LICITACAO ON LICON_DEV.dbo.MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO = LICON_DEV.dbo.LICITACAO.ID_MODALIDADE_LICITACAO_NOVA WHERE LICON_DEV.dbo.LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY LICON_DEV.dbo.LICITACAO.DATA_CADASTRO_PUBLICACAO DESC",mistral-saba-24b
10,"SELECT AVG(LICITACAO.VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICON_DEV.dbo.LICITACAO WHERE LICITACAO.ANO_LICITACAO=2023",mistral-saba-24b
