ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO=2024 ORDER BY VALOR_ESTIMADO DESC LIMIT 1,gemma2-9b-it
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",SELECT TOP 1 VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC,gemma2-9b-it
3," ""Qual a ocorrência da licitação de número 681?""",SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM LICITACAO WHERE NUMERO_LICITACAO='681',gemma2-9b-it
4," ""Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?""","SELECT  LICITACAO.NUMERO_LICITACAO, LICITACAO.VALOR_ESTIMADO, LICITACAO.DATA_ABERTURA
FROM LICITACAO
WHERE  LICITACAO.ANO_LICITACAO = 2024 AND  LICITACAO.OBJETO_LICITACAO LIKE '%aquisição de livros%'",gemma2-9b-it
5," ""Qual foi a licitação com maior valor adjudicado em 2023?""","SELECT TOP 1 LICITACAO.NUMERO_LICITACAO 
FROM LICITACAO 
WHERE ANO_LICITACAO = 2023 
ORDER BY LICITACAO.VALOR_ADJUDICADO DESC",gemma2-9b-it
6," ""Em que fase a licitação 710 se encontra?""",SELECT FASE FROM LICITACAO WHERE NUMERO_LICITACAO = '710',gemma2-9b-it
7," ""Quais foram as 3 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 3 NUMERO_LICITACAO,VALOR_ADJUDICADO
FROM LICITACAO
WHERE ANO_LICITACAO = 2024
ORDER BY VALOR_ADJUDICADO DESC",gemma2-9b-it
8, Qual o valor da licitação de número 759?,SELECT VALOR_ESTIMADO FROM LICITACAO WHERE NUMERO_LICITACAO = '759',gemma2-9b-it
9," ""Qual a modalidade da licitação mais recente sobre medicamentos""","SELECT  MODALIDADE_LICITACAO.NOME 
FROM LICITACAO
JOIN MODALIDADE_LICITACAO ON LICITACAO.ID_MODALIDADE_LICITACAO_NOVA = MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO 
WHERE LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos'  
ORDER BY LICITACAO.DATA_ABERTURA DESC 
LIMIT 1",gemma2-9b-it
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = 2023,gemma2-9b-it
11," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""","SELECT COUNT(*)
FROM LICITACAO
WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000 AND STATUS_OCORRENCIA_LICITACAO_ATUAL = 'Aberta'",gemma2-9b-it
12," ""Quantas licitações foram realizadas pela entidade  TRIBUNAL DE JUSTIÇA no ano de 2024?""",SELECT COUNT(*)  FROM LICITACAO WHERE ID_ENTIDADE = (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'TRIBUNAL DE JUSTIÇA') AND  ANO_LICITACAO = 2024,gemma2-9b-it
13," ""Qual foi a licitação com o maior valor adjudicado em 2023 pela entidade PREFEITURA MUNICIPAL DE PORTO ACRE?""","SELECT TOP 1 * 
FROM LICITACAO
WHERE ANO_LICITACAO = 2023 AND ID_ENTIDADE = (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE')
ORDER BY VALOR_ADJUDICADO DESC",gemma2-9b-it
14," ""Quantas licitações possuem valor estimado superior a 500 mil reais e inferior a 1 milhão reais cadastradas em 2023?""",SELECT COUNT(*) FROM LICITACAO WHERE VALOR_ESTIMADO BETWEEN 500000 AND 1000000 AND ANO_LICITACAO = 2023,gemma2-9b-it
15, Qual a entidade responsavel pela última licitação cadastrada?,"SELECT E.NOME 
FROM dbo.LICITACAO L
INNER JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE L.DATA_CADASTRO_PUBLICACAO = (SELECT MAX(DATA_CADASTRO_PUBLICACAO) FROM dbo.LICITACAO)",gemma2-9b-it
16," Quantas licitações existem para a modalidade ""Concurso""?",SELECT COUNT(*) FROM LICITACAO WHERE ID_MODALIDADE_LICITACAO_NOVA = 'Concurso',gemma2-9b-it
17," ""Quais foram as 3 entidades que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada uma?""","SELECT e.NOME, SUM(l.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO  
FROM LICITACAO l  
JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE  
WHERE YEAR(l.DATA_ABERTURA) >= YEAR(GETDATE()) - 5  
GROUP BY e.NOME  
ORDER BY SUM(l.VALOR_ADJUDICADO) DESC  
OFFSET 0 ROWS FETCH NEXT 3 ROWS ONLY",gemma2-9b-it
18," ""Quantas licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?""","SELECT COUNT(*) 
FROM LICITACAO 
WHERE VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = LICITACAO.ANO_LICITACAO)",gemma2-9b-it
19, Quantas licitações por fase existem?,"SELECT FASE, COUNT(*) AS TOTAL_LICITACAO FROM LICITACAO GROUP BY FASE",gemma2-9b-it
