ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT TOP 1 NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC;,gemma2-9b-it
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",SELECT MAX(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = 2023;,gemma2-9b-it
3," ""Quais são os órgãos responsáveis pelas licitações cadastradas em 2024?""",SELECT ORGAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024;,gemma2-9b-it
4," ""Quantas licitações foram cadastradas no ano de 2024?""",SELECT COUNT(*) FROM dbo.LICITACAO WHERE YEAR(DATA_CADASTRO_PUBLICACAO) = 2024;,gemma2-9b-it
5," ""Quais foram os números das licitações abertas em janeiro de 2024?""",SELECT NUMERO_LICITACAO FROM LICITACAO WHERE MONTH(DATA_ABERTURA) = 1 AND YEAR(DATA_ABERTURA) = 2024;,gemma2-9b-it
6," ""Qual foi o status da licitação com maior valor adjudicado em 2023?""",SELECT STATUS_ANALISE FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC FETCH NEXT 1 ROWS ONLY;,gemma2-9b-it
7," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000.00;,gemma2-9b-it
8," ""Quais licitações possuem o tipo de adjudicação como 'Menor Preço'?""",SELECT * FROM LICITACAO WHERE TIPO_ADJUDICACAO = 'Menor Preço';,gemma2-9b-it
9," ""Quais foram as 5 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 5 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;",gemma2-9b-it
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = 2023;,gemma2-9b-it
11," ""Qual o órgão que mais realizou licitações em 2022?""","SELECT TOP 1 ORGAO, COUNT(*) AS QTD_LICITACOES FROM LICITACAO WHERE ANO_LICITACAO = 2022 GROUP BY ORGAO ORDER BY QTD_LICITACOES DESC;",gemma2-9b-it
12," ""Quantas licitações foram realizadas por cada entidade no ano de 2024?""","SELECT E.NOME_ENTIDADE, COUNT(L.NUMERO_LICITACAO) AS QTD_LICITACAO FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE YEAR(L.DATA_ABERTURA) = 2024 GROUP BY E.NOME_ENTIDADE;",gemma2-9b-it
13," ""Quantas licitações possuem a legislação informada como ""Lei 14333""?""",SELECT COUNT(*) FROM LICITACAO WHERE ID_MODALIDADE_LICITACAO = 'Lei 14333';,gemma2-9b-it
14," ""Para cada órgão","SELECT ORGAO, COUNT(*) AS numero_licitacao FROM LICITACAO GROUP BY ORGAO;",gemma2-9b-it
15," ""Quais as licitações com valor estimado superior a 500 mil reais e que ainda estão em análise?""",SELECT * FROM dbo.LICITACAO WHERE VALOR_ESTIMADO > 500000 AND STATUS_ANALISE <> 'Finalizada';,gemma2-9b-it
16," ""Quantas licitações tiveram participação exclusiva em 2024?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND TIPO_ADJUDICACAO = 'Participação Exclusiva';,gemma2-9b-it
17," ""Quais foram os 3 órgãos que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada um?""","SELECT TOP 3 ORGAO, SUM(VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO FROM LICITACAO WHERE ANO_LICITACAO >= YEAR(GETDATE()) - 5 GROUP BY ORGAO ORDER BY VALOR_TOTAL_ADJUDICADO DESC;",gemma2-9b-it
18," ""Quais os 5 usuários que cadastraram mais licitações nos últimos 12 meses e a média de valor estimado por cada um?""","SELECT TOP 5 u.ID_USUARIO, u.NOME, AVG(l.VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICITACAO l JOIN USUARIO u ON l.ID_USUARIO = u.ID_USUARIO WHERE l.DATA_CADASTRO_PUBLICACAO >= DATEADD(year,-1,GETDATE()) GROUP BY u.ID_USUARIO, u.NOME ORDER BY MEDIA_VALOR_ESTIMADO DESC;",gemma2-9b-it
19," ""Para cada entidade participante",SELECT lic.NUMERO_LICITACAO FROM LICITACAO lic INNER JOIN LICITACAO_PARTICIPANTE lic_part ON lic.ID_LICITACAO = lic_part.ID_LICITACAO GROUP BY LICITACAO`.`NUMERO_LICITACAO`;,gemma2-9b-it
20," ""Quais licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?""",SELECT l.NUMERO_LICITACAO FROM LICITACAO l WHERE l.VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = l.ANO_LICITACAO);,gemma2-9b-it
