ID_Pergunta,Consulta_SQL,Resultado,Modelo
1,SELECT TOP 1 NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC,Correto,gpt-4
2,SELECT MAX(VALOR_ESTIMADO) AS ValorMaximo FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023;,Correto,gpt-4
3,SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '681',Correto,gpt-4
4,"SELECT NUMERO_LICITACAO, DATA_ABERTURA, ID_MODALIDADE_LICITACAO_NOVA, VALOR_ADJUDICADO, ID_ENTIDADE, DATA_CADASTRO_PUBLICACAO, STATUS_OCORRENCIA_LICITACAO_ATUAL, FASE FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND OBJETO_LICITACAO LIKE '%aquisição de livros%'",Correto,gpt-4
5,"SELECT TOP 1 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC",Correto,gpt-4
6,SELECT FASE FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '710',Correto,gpt-4
7,"SELECT TOP 3 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC",Correto,gpt-4
8,SELECT VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '759',Correto,gpt-4
9,SELECT TOP 1 MODALIDADE_LICITACAO.NOME FROM dbo.LICITACAO INNER JOIN dbo.MODALIDADE_LICITACAO ON LICITACAO.ID_MODALIDADE_LICITACAO_NOVA = MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO WHERE LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY LICITACAO.DATA_ABERTURA DESC,Correto,gpt-4
10,SELECT AVG(VALOR_ESTIMADO) AS MediaValorEstimado FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023,Correto,gpt-4
