ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT TOP 1 NUMERO\_LICITACAO FROM LICITACAO WHERE ANO\_LICITACAO = 2024 ORDER BY VALOR\_ESTIMADO DESC,mixtral-8x7b-32768
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",SELECT MAX(VALOR\_ESTIMADO) FROM LICITACAO WHERE ANO\_LICITACAO = 2023;,mixtral-8x7b-32768
3," ""Quais são os órgãos responsáveis pelas licitações cadastradas em 2024?""",SELECT ORGAO FROM LICITACAO WHERE ANO\_LICITACAO = 2024;,mixtral-8x7b-32768
4," ""Quantas licitações foram cadastradas no ano de 2024?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO\_LICITACAO = 2024;,mixtral-8x7b-32768
5," ""Quais foram os números das licitações abertas em janeiro de 2024?""",SELECT NUMERO\_LICITACAO FROM LICITACAO WHERE MONTH(DATA\_ABERTURA) = 1 AND YEAR(DATA\_ABERTURA) = 2024;,mixtral-8x7b-32768
6," ""Qual foi o status da licitação com maior valor adjudicado em 2023?""","SELECT STATUS\_ANALISE, MAX(VALOR\_ADJUDICADO) FROM LICITACAO WHERE ANO\_LICITACAO = 2023 GROUP BY STATUS\_ANALISE;",mixtral-8x7b-32768
7," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""",SELECT COUNT(\*) FROM LICITACAO WHERE ANO\_LICITACAO = 2024 AND VALOR\_ESTIMADO > 1000000 AND STATUS\_ANALISE = 'ABERTA';,mixtral-8x7b-32768
8," ""Quais licitações possuem o tipo de adjudicação como 'Menor Preço'?""",SELECT * FROM LICITACAO WHERE TIPO_ADJUDICACAO = 'Menor Preço';,mixtral-8x7b-32768
9," ""Quais foram as 5 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 5 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;",mixtral-8x7b-32768
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(VALOR\_ESTIMADO) FROM LICITACAO WHERE ANO\_LICITACAO = 2023;,mixtral-8x7b-32768
11," ""Qual o órgão que mais realizou licitações em 2022?""","SELECT ORGAO, COUNT(*) as licitacoes FROM LICITACAO WHERE ANO_LICITACAO = 2022 GROUP BY ORGAO ORDER BY licitacoes DESC",mixtral-8x7b-32768
12," ""Quantas licitações foram realizadas por cada entidade no ano de 2024?""","SELECT L.ID\_ENTIDADE, COUNT(*) as Licitacoes FROM LICITACAO L WHERE YEAR(L.DATA\_CADASTRO\_PUBLICACAO) = 2024 GROUP BY L.ID\_ENTIDADE;",mixtral-8x7b-32768
13," ""Quantas licitações possuem a legislação informada como ""Lei 14333""?""",SELECT COUNT(\*) FROM LICITACAO WHERE ID\_MODALIDADE\_LICITACAO = 'Lei 14333';,mixtral-8x7b-32768
14," ""Para cada órgão","SELECT ORGAO, COUNT(*) as 'Quantidade de Licitações' FROM LICITACAO GROUP BY ORGAO;",mixtral-8x7b-32768
15," ""Quais as licitações com valor estimado superior a 500 mil reais e que ainda estão em análise?""",SELECT * FROM LICITACAO WHERE VALOR\_ESTIMADO > 500000 AND STATUS\_ANALISE = 'em análise';,mixtral-8x7b-32768
16," ""Quantas licitações tiveram participação exclusiva em 2024?""",SELECT COUNT(\*) FROM LICITACAO WHERE ID\_ENTIDADE\_PARTICIPANTE IN ( SELECT ID\_ENTIDADE FROM ENTIDADE WHERE ID\_ENTIDADE IN ( SELECT ID\_ENTIDADE\_PARTICIPANTE FROM LICITACAO WHERE ANO\_LICITACAO = 2024 GROUP BY ID\_ENTIDADE\_PARTICIPANTE HAVING COUNT(\*) = 1 ) GROUP BY ID\_ENTIDADE HAVING COUNT(\*) = 1 ) AND ANO\_LICITACAO = 2024;,mixtral-8x7b-32768
17," ""Quais foram os 3 órgãos que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada um?""","SELECT TOP 3 ORGAO, SUM(VALOR\_ADJUDICADO) AS TOTAL\_ADJUDICADO FROM LICITACAO WHERE ANO\_LICITACAO >= YEAR(GETDATE()) - 5 GROUP BY ORGAO ORDER BY TOTAL\_ADJUDICADO DESC;",mixtral-8x7b-32768
18," ""Quais os 5 usuários que cadastraram mais licitações nos últimos 12 meses e a média de valor estimado por cada um?""","SELECT TOP 5 ID_USUARIO, AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICITACAO WHERE DATA_CADASTRO_PUBLICACAO >= DATEADD(YEAR, -1, GETDATE()) GROUP BY ID_USUARIO ORDER BY COUNT(*) DESC, AVG(VALOR_ESTIMADO) DESC;",mixtral-8x7b-32768
19," ""Para cada entidade participante","SELECT ID\_ENTIDADE\_PARTICIPANTE, COUNT(*) FROM LICITACAO GROUP BY ID\_ENTIDADE\_PARTICIPANTE;",mixtral-8x7b-32768
20," ""Quais licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?""",SELECT * FROM LICITACAO WHERE VALOR_ESTIMADO > ( SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE YEAR(DATA_CADASTRO_PUBLICACAO) = YEAR(LICITACAO.DATA_CADASTRO_PUBLICACAO) ),mixtral-8x7b-32768
