ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""",SELECT NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC LIMIT 1;,llama3-8b-8192
2," ""Qual o valor da licitação com maior valor do ano de 2023?""",SELECT TOP 1 VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC;,llama3-8b-8192
3," ""Quais são os órgãos responsáveis pelas licitações cadastradas em 2024?""",SELECT ORGAO FROM LICITACAO WHERE ANO_LICITACAO = 2024;,llama3-8b-8192
4," ""Quantas licitações foram cadastradas no ano de 2024?""",SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024;,llama3-8b-8192
5," ""Quais foram os números das licitações abertas em janeiro de 2024?""",SELECT NUMERO_LICITACAO FROM LICON_DEV.dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND MONTH(DATA_ABERTURA) = 1;,llama3-8b-8192
6," ""Qual foi o status da licitação com maior valor adjudicado em 2023?""",SELECT TOP 1 STATUS_ANALISE FROM LICITACAO WHEREANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC;,llama3-8b-8192
7," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""",``` SELECT COUNT(*) FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000;,llama3-8b-8192
8," ""Quais licitações possuem o tipo de adjudicação como 'Menor Preço'?""",SELECT * FROM LICITACAO WHERE TIPO_ADJUDICACAO = 'Menor Preço';,llama3-8b-8192
9," ""Quais foram as 5 licitações com os maiores valores adjudicados em 2024?""",SELECT TOP 5 * FROM Licitacao WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC,llama3-8b-8192
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""",SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023;,llama3-8b-8192
11," ""Qual o órgão que mais realizou licitações em 2022?""","``` SELECT TOP 1 ORGAO, COUNT(*) AS NumeroLicitacoes FROM dbo.LICITACAO WHERE ano_licitacao = 2022 GROUP BY ORGAO ORDER BY NumeroLicitacoes DESC;",llama3-8b-8192
12," ""Quantas licitações foram realizadas por cada entidade no ano de 2024?""","SELECT E.Nome, COUNT(L.NUMERO_LICITACAO) AS quantidade_licitacoes FROM LICITACAO L JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE L.ANO_LICITACAO = 2024 GROUP BY E.Nome ORDER BY quantidade_licitacoes DESC;",llama3-8b-8192
13," ""Quantas licitações possuem a legislação informada como ""Lei 14333""?""",SELECT COUNT(*) FROM LICITACAO WHERE ID_MODALIDADE_LICITACAO = '?';,llama3-8b-8192
14," ""Para cada órgão","SELECT ORGAO, COUNT(*) AS NUM_LICITACOES FROM LICITACAO GROUP BY ORGAO",llama3-8b-8192
15," ""Quais as licitações com valor estimado superior a 500 mil reais e que ainda estão em análise?""",SELECT * FROM LICITACAO WHERE VALOR_ESTIMADO > 500000 AND STATUS_ANALISE = 'Análise';,llama3-8b-8192
16," ""Quantas licitações tiveram participação exclusiva em 2024?""",SELECT COUNT(*) FROM LICITACAO WHERE ID_ENTIDADE_PARTICIPANTE = ID_ENTIDADE AND ANO_LICITACAO = 2024 AND STATUS_ANALISE = 'Participa' AND ID_ENTIDADE <> ID_USUARIO;,llama3-8b-8192
17," ""Quais foram os 3 órgãos que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada um?""","SELECT TOP 3 ORGAO, SUM(VALOR_ADJUDICADO) AS VALOR_TOTAL FROM LICON_DEV.dbo.LICITACAO WHERE ANO_LICITACAO >= DATEADD(year, -5, GETDATE()) GROUP BY ORGAO ORDER BY VALOR_TOTAL DESC;",llama3-8b-8192
18," ""Quais os 5 usuários que cadastraram mais licitações nos últimos 12 meses e a média de valor estimado por cada um?""","SELECT TOP 5 U.ID_USUARIO, U.Nome, AVG(L.VALOR_ESTIMADO) AS média_valor_estimado FROM LICON_DEV.dbo.LICITACAO L INNER JOIN LICON_DEV.dbo.Usuarios U ON L.ID_USUARIO = U.ID_USUARIO WHERE L.DATA_CADASTRO_PUBLICACAO >= DATEADD(MONTH, -12, GETDATE()) GROUP BY U.ID_USUARIO, U.Nome ORDER BY AVG(L.VALOR_ESTIMADO) DESC",llama3-8b-8192
19," ""Para cada entidade participante",SELECT DISTINCT e.Nome FROM LICITACAO l JOIN ENTIDADE_PARTICIPANTE ep ON l.ID_ENTIDADE_PARTICIPANTE = ep.ID_ENTIDADE JOIN ENTIDADE e ON ep.ID_ENTIDADE = e.ID_ENTIDADE,llama3-8b-8192
20," ""Quais licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?""","SELECT L.NUMERO_LICITACAO, L.VALOR_ESTIMADO FROM LICITACAO L WHERE L.VALOR_ESTIMADO > ( SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = L.ANO_LICITACAO );",llama3-8b-8192
