ID_Pergunta,Consulta_SQL,Resultado,Modelo
1,SELECT TOP 1 NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC,Correto,deepseek-r1-distill-llama-70b
2,SELECT MAX(VALOR_ESTIMADO) AS MAIOR_VALOR FROM LICITACAO WHERE ANO_LICITACAO = 2023,Correto,deepseek-r1-distill-llama-70b
3,SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM LICITACAO WHERE NUMERO_LICITACAO = '681',Correto,deepseek-r1-distill-llama-70b
4,"SELECT NUMERO_LICITACAO, OBJETO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND OBJETO_LICITACAO LIKE '%aquisição de livros%'",Correto,deepseek-r1-distill-llama-70b
5,"SELECT TOP 1 NUMERO_LICITACAO, VALOR_ESTIMADO, MAX(VALOR_ADJUDICADO) AS MaiorValorAdjudicado FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC",Erro,deepseek-r1-distill-llama-70b
6,SELECT FASE FROM LICITACAO WHERE NUMERO_LICITACAO = '710',Correto,deepseek-r1-distill-llama-70b
7,"SELECT TOP 3 [NUMERO_LICITACAO], [VALOR_ADJUDICADO] FROM [LICITACAO] WHERE [ANO_LICITACAO] = 2024 ORDER BY [VALOR_ADJUDICADO] DESC",Correto,deepseek-r1-distill-llama-70b
8,SELECT VALOR_ADJUDICADO FROM LICITACAO WHERE NUMERO_LICITACAO = '759',Correto,deepseek-r1-distill-llama-70b
9,SELECT TOP 1 ML.NOME FROM LICITACAO L INNER JOIN MODALIDADE_LICITACAO ML ON L.ID_MODALIDADE_LICITACAO_NOVA = ML.ID_MODALIDADE_LICITACAO WHERE L.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC,Correto,deepseek-r1-distill-llama-70b
10,SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023,Correto,deepseek-r1-distill-llama-70b
11,SELECT COUNT(NUMERO_LICITACAO) FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000.00,Correto,deepseek-r1-distill-llama-70b
12,SELECT COUNT(*) FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024,Correto,deepseek-r1-distill-llama-70b
13,SELECT TOP 1 * FROM LICITACAO AS L INNER JOIN ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE WHERE E.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' AND L.ANO_LICITACAO = 2023 ORDER BY L.VALOR_ADJUDICADO DESC,Correto,deepseek-r1-distill-llama-70b
14,SELECT COUNT(*) FROM LICITACAO WHERE VALOR_ESTIMADO > 500000 AND VALOR_ESTIMADO < 1000000 AND ANO_LICITACAO = 2023,Correto,deepseek-r1-distill-llama-70b
15,SELECT TOP 1 E.NOME FROM LICITACAO L INNER JOIN ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC,Correto,deepseek-r1-distill-llama-70b
