ID,Pergunta,Consulta_SQL,Modelo
1," ""Qual o número da licitação com maior valor do ano de 2024?""","SELECT TOP 1 NUMERO_LICITACAO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2024
ORDER BY VALOR_ESTIMADO DESC",gpt-4
2," ""Qual o valor da licitação com maior valor do ano de 2023?""","SELECT MAX(VALOR_ESTIMADO) AS ValorMaximo
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2023;",gpt-4
3," ""Qual a ocorrência da licitação de número 681?""","SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '681'",gpt-4
4," ""Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?""","SELECT 
    NUMERO_LICITACAO, 
    DATA_ABERTURA, 
    ID_MODALIDADE_LICITACAO_NOVA, 
    VALOR_ADJUDICADO, 
    ID_ENTIDADE, 
    DATA_CADASTRO_PUBLICACAO, 
    STATUS_OCORRENCIA_LICITACAO_ATUAL, 
    FASE 
FROM 
    dbo.LICITACAO 
WHERE 
    ANO_LICITACAO = 2024 
    AND OBJETO_LICITACAO LIKE '%aquisição de livros%'",gpt-4
5," ""Qual foi a licitação com maior valor adjudicado em 2023?""","SELECT TOP 1 NUMERO_LICITACAO, VALOR_ADJUDICADO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2023
ORDER BY VALOR_ADJUDICADO DESC",gpt-4
6," ""Em que fase a licitação 710 se encontra?""","SELECT FASE 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '710'",gpt-4
7," ""Quais foram as 3 licitações com os maiores valores adjudicados em 2024?""","SELECT TOP 3 NUMERO_LICITACAO, VALOR_ADJUDICADO
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2024
ORDER BY VALOR_ADJUDICADO DESC",gpt-4
8, Qual o valor adjudicado da licitação de número 759?,"SELECT VALOR_ADJUDICADO 
FROM dbo.LICITACAO 
WHERE NUMERO_LICITACAO = '759'",gpt-4
9," ""Qual a modalidade da licitação mais recente sobre medicamentos""","SELECT TOP 1 MODALIDADE_LICITACAO.NOME
FROM dbo.LICITACAO
INNER JOIN dbo.MODALIDADE_LICITACAO ON LICITACAO.ID_MODALIDADE_LICITACAO_NOVA = MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO
WHERE LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos%'
ORDER BY LICITACAO.DATA_ABERTURA DESC",gpt-4
10," ""Qual é a média do valor estimado das licitações cadastradas em 2023?""","SELECT AVG(VALOR_ESTIMADO) AS MediaValorEstimado
FROM dbo.LICITACAO
WHERE ANO_LICITACAO = 2023",gpt-4
11," ""Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?""","SELECT COUNT(*) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000",gpt-4
12," ""Quantas licitações foram realizadas pela entidade  TRIBUNAL DE JUSTIÇA no ano de 2024?""","SELECT COUNT(*) 
FROM dbo.LICITACAO AS L
JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE E.NOME = 'TRIBUNAL DE JUSTIÇA' AND L.ANO_LICITACAO = 2024",gpt-4
13," ""Qual foi a licitação com o maior valor adjudicado em 2023 pela entidade PREFEITURA MUNICIPAL DE PORTO ACRE?""","SELECT TOP 1 
    L.NUMERO_LICITACAO, 
    L.VALOR_ADJUDICADO
FROM 
    dbo.LICITACAO AS L
INNER JOIN 
    dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE 
    L.ANO_LICITACAO = 2023 AND 
    E.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE'
ORDER BY 
    L.VALOR_ADJUDICADO DESC",gpt-4
14," ""Quantas licitações possuem valor estimado superior a 500 mil reais e inferior a 1 milhão reais cadastradas em 2023?""","SELECT COUNT(*) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE ANO_LICITACAO = 2023 
AND VALOR_ESTIMADO > 500000 
AND VALOR_ESTIMADO < 1000000",gpt-4
15, Qual a entidade responsavel pela última licitação cadastrada?,"SELECT TOP 1 E.NOME
FROM dbo.LICITACAO AS L
JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE
ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC",gpt-4
16," Quantas licitações existem para a modalidade ""Concurso""?","SELECT COUNT(*) 
FROM dbo.LICITACAO AS L
JOIN dbo.MODALIDADE_LICITACAO AS M ON L.ID_MODALIDADE_LICITACAO_NOVA = M.ID_MODALIDADE_LICITACAO
WHERE M.NOME = 'Concurso'",gpt-4
17," ""Quais foram as 3 entidades que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada uma?""","SELECT TOP 3 
    E.NOME AS ENTIDADE, 
    COUNT(L.ID_ENTIDADE) AS TOTAL_LICITACOES, 
    SUM(L.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO
FROM 
    dbo.LICITACAO L
INNER JOIN 
    dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE 
    L.ANO_LICITACAO >= YEAR(GETDATE()) - 5
GROUP BY 
    E.NOME
ORDER BY 
    TOTAL_LICITACOES DESC, VALOR_TOTAL_ADJUDICADO DESC;",gpt-4
18," ""Quantas licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?""","SELECT COUNT(*) 
FROM dbo.LICITACAO AS L1
WHERE L1.VALOR_ESTIMADO > (
    SELECT AVG(L2.VALOR_ESTIMADO) 
    FROM dbo.LICITACAO AS L2 
    WHERE L1.ANO_LICITACAO = L2.ANO_LICITACAO
)",gpt-4
19, Quantas licitações por fase existem?,"SELECT FASE, COUNT(*) AS QUANTIDADE
FROM dbo.LICITACAO
GROUP BY FASE",gpt-4
20, Quantas licitações foram abertas por mês nos últimos 6 meses?,"SELECT 
    MONTH(DATA_ABERTURA) AS Mes,
    COUNT(*) AS Quantidade_Licitacoes
FROM 
    dbo.LICITACAO
WHERE 
    DATA_ABERTURA >= DATEADD(MONTH, -6, GETDATE())
GROUP BY 
    MONTH(DATA_ABERTURA)",gpt-4
21, Qual a entidade que mais cadastrou licitações?,"SELECT TOP 1 E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES
FROM dbo.LICITACAO L
INNER JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
GROUP BY E.NOME
ORDER BY QUANTIDADE_LICITACOES DESC",gpt-4
22, Qual a quantidade de licitações cadastradas por ano a partir de 2020?,"SELECT ANO_LICITACAO, COUNT(*) AS QUANTIDADE_LICITACOES
FROM dbo.LICITACAO
WHERE ANO_LICITACAO >= 2020
GROUP BY ANO_LICITACAO;",gpt-4
23, Qual o órgão que menos cadastrou licitações?,"SELECT TOP 1 E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES
FROM dbo.LICITACAO AS L
JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE
GROUP BY E.NOME
ORDER BY QUANTIDADE_LICITACOES ASC",gpt-4
24, Quais entidades cadastraram mais de 100 licitações em 2023,"SELECT E.NOME, COUNT(L.ID_ENTIDADE) AS QUANTIDADE_LICITACOES
FROM dbo.LICITACAO AS L
JOIN dbo.ENTIDADE AS E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE L.ANO_LICITACAO = 2023
GROUP BY E.NOME
HAVING COUNT(L.ID_ENTIDADE) > 100",gpt-4
