ID_Pergunta,Consulta_SQL,Modelo
1,"SELECT TOP 1 NL.NUMERO_LICITACAO
FROM LICITACAO NL
WHERE NL.ANO_LICITACAO = 2024
ORDER BY NL.VALOR_ESTIMADO DESC;",llama3-8b-8192
2,"SELECT TOP 1 
    VALOR_ESTIMADO 
FROM 
    LICON_DEV.dbo.LICITACAO 
WHERE 
    ANO_LICITACAO = 2023 
ORDER BY 
    VALOR_ESTIMADO DESC;",llama3-8b-8192
3,"SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL
FROM dbo.LICITACAO
WHERE NUMERO_LICITACAO = '681';",llama3-8b-8192
4,"```
SELECT *
FROM LICITACAO
WHERE ANO_LICITACAO = 2024
AND OBJETO_LICITACAO LIKE '%aquisição de livros%';
```",llama3-8b-8192
5,"SELECT 
    l.NUMERO_LICITACAO, 
    l.OBJETO_LICITACAO, 
    l.VALOR_ADJUDICADO
FROM 
    dbo.LICITACAO l
WHERE 
    l.ANO_LICITACAO = 2023
ORDER BY 
    l.VALOR_ADJUDICADO DESC
LIMIT 1;",llama3-8b-8192
6,"SELECT FASE
FROM LICITACAO
WHERE NUMERO_LICITACAO = '710';",llama3-8b-8192
7,"SELECT TOP 3 
    L.NUMERO_LICITACAO, 
    L.FASE, 
    L.OBJETO_LICITACAO, 
    L.VALOR_ADJUDICADO
FROM 
    LICON_DEV.dbo.LICITACAO L
WHERE 
    L.ANO_LICITACAO = 2024
ORDER BY 
    L.VALOR_ADJUDICADO DESC;",llama3-8b-8192
8,"SELECT VALOR_ESTIMADO
FROM Licon_dev.dbo.LICITACAO
WHERE NUMERO_LICITACAO = '759';",llama3-8b-8192
9,"SELECT 
    ml.NOME 
FROM 
    LICITACAO l 
JOIN 
    MODALIDADE_LICITACAO ml ON l.ID_MODALIDADE_LICITACAO_NOVA = ml.ID_MODALIDADE_LICITACAO 
WHERE 
    l.OBJETO_LICITACAO LIKE '%medicamentos%' 
ORDER BY 
    l.DATA_CADASTRO_PUBLICACAO DESC 
LIMIT 1;",llama3-8b-8192
10,"SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO
FROM LICITACAO
WHERE ANO_LICITACAO = 2023",llama3-8b-8192
11,"SELECT COUNT(*)
FROM Licitacao
WHERE ANO_LICITACAO = 2024
AND DATA_ABERTURA <= GETDATE()
AND VALOR_ESTIMADO > 1000000.000
ORDER BY VALOR_ESTIMADO DESC;",llama3-8b-8192
12,"```
SELECT COUNT(*) 
FROM LICITACAO 
WHERE ID_ENTIDADE IN (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'TRIBUNAL DE JUSTIÇA') 
AND ANO_LICITACAO = 2024;",llama3-8b-8192
13,"SELECT * 
FROM Licitacao 
WHERE ANO_LICITACAO = 2023 
AND ID_ENTIDADE IN (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE') 
ORDER BY VALOR_ADJUDICADO DESC 
LIMIT 1;",llama3-8b-8192
14,"```
SELECT COUNT(*) 
FROM LICON_DEV.dbo.LICITACAO 
WHERE VALOR_ESTIMADO > 500000.000 AND VALOR_ESTIMADO < 1000000.000 AND ANO_LICITACAO = 2023
```",llama3-8b-8192
15,"SELECT E.NOME
FROM dbo.LICITACAO L
JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE L.DATA_CADASTRO_PUBLICACAO = (SELECT MAX(DATA_CADASTRO_PUBLICACAO) FROM dbo.LICITACAO);",llama3-8b-8192
16,"SELECT COUNT(*) 
FROM Licitacao 
WHERE ID_MODALIDADE_LICITACAO_NOVA = (SELECT ID_MODALIDADE_LICITACAO FROM Modalidade_Licitacao WHERE NOME = 'Concurso')",llama3-8b-8192
17,"SELECT 
    e.Nome, 
    SUM(al.Valor_Adjudicado) as Valor_Total_Adjudicado
FROM 
    dbo.LICITACAO al
    INNER JOIN dbo.ENTIDADE e ON al.ID_ENTIDADE = e.ID_ENTIDADE
WHERE 
    YEAR(al.DATA_CADASTRO_PUBLICACAO) >= YEAR(DATEADD(year, -5, GETDATE()))
GROUP BY 
    e.Nome
ORDER BY 
    Valor_Total_Adjudicado DESC
 LIMIT 3",llama3-8b-8192
18,"SELECT COUNT(*) 
FROM LICITACAO 
WHERE VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO GROUP BY ANO_LICITACAO)",llama3-8b-8192
19,"SELECT COUNT(*) as qtde_licitacoes, fase  
FROM LICON_DEV.dbo.LICITACAO  
GROUP BY fase;",llama3-8b-8192
20,"SELECT 
    DATENAME(MONTH, CONVERT(DATETIME, DATEADD(MONTH, 0, GETDATE()))) AS MES,
    COUNT(*) AS QUANTIDADE_LICITACOES
FROM 
    LICITACAO
WHERE 
    DATA_ABERTURA >= DATEADD(MONTH, -6, GETDATE())
GROUP BY 
    DATENAME(MONTH, CONVERT(DATETIME, DATEADD(MONTH, 0, GETDATE())))",llama3-8b-8192
21,"SELECT TOP 1 e.NOME, COUNT(*) AS NUMERO_LICITACOES
FROM LICITACAO l
INNER JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE
GROUP BY e.NOME
ORDER BY NUMERO_LICITACOES DESC;",llama3-8b-8192
22,"SELECT 
    ANO_LICITACAO, 
    COUNT(*) AS QTD_LICITACOES
FROM 
    LICITACAO
WHERE 
    ANO_LICITACAO >= 2020
GROUP BY 
    ANO_LICITACAO",llama3-8b-8192
23,"SELECT TOP 1 E.NOME 
FROM ENTIDADE E 
LEFT JOIN LICITACAO L ON E.ID_ENTIDADE = L.ID_ENTIDADE 
GROUP BY E.NOME 
ORDER BY COUNT(L.ID_ENTIDADE) ASC;",llama3-8b-8192
24,"SELECT 
    e.NOME, 
    COUNT(l.ID_LICITACAO) AS NUMERO_LICITACOES
FROM 
    LICITACAO l
    INNER JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE
WHERE 
    l.ANO_LICITACAO = 2023
GROUP BY 
    e.NOME
HAVING 
    COUNT(l.ID_LICITACAO) > 100",llama3-8b-8192
