ID_Pergunta,Consulta_SQL,Resultado,Modelo
1,SELECT TOP 1 NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC;,Correto,phi4
2,SELECT TOP 1 VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC;,Correto,phi4
3,SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '681';,Correto,phi4
4,"SELECT NUMERO_LICITACAO, DATA_CADASTRO_PUBLICACAO, OBJETO_LICITACAO FROM LICITACAO WHERE YEAR(DATA_CADASTRO_PUBLICACAO) = 2024 AND OBJETO_LICITACAO LIKE '%livros%';",Correto,phi4
5,"SELECT TOP 1 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC;",Correto,phi4
6,SELECT FASE FROM LICITACAO WHERE NUMERO_LICITACAO = '710';,Correto,phi4
7,"SELECT TOP 3 NUMERO_LICITACAO, VALOR_ADJUDICADO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;",Correto,phi4
8,SELECT VALOR_ESTIMADO FROM LICITACAO WHERE NUMERO_LICITACAO = '759';,Correto,phi4
9,SELECT TOP 1 m.NOME AS Modalidade_Licitação FROM LICITACAO l JOIN MODALIDADE_LICITACAO m ON l.ID_MODALIDADE_LICITACAO_NOVA = m.ID_MODALIDADE_LICITACAO WHERE l.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY l.DATA_ABERTURA DESC;,Correto,phi4
10,SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023;,Correto,phi4
11,SELECT COUNT(*) FROM LICITACAO WHERE YEAR(DATA_ABERTURA) = 2024 AND VALOR_ESTIMADO > 1000000;,Correto,phi4
12,SELECT COUNT(*) AS Total_Licitacoes FROM LICITACAO l JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE WHERE e.NOME = 'TRIBUNAL DE JUSTIÇA' AND l.ANO_LICITACAO = 2024;,Correto,phi4
13,"SELECT TOP 1 LICITACAO.NUMERO_LICITACAO, LICITACAO.VALOR_ADJUDICADO FROM dbo.LICITACAO JOIN dbo.ENTIDADE ON LICITACAO.ID_ENTIDADE = ENTIDADE.ID_ENTIDADE WHERE LICITACAO.ANO_LICITACAO = 2023 AND ENTIDADE.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' ORDER BY LICITACAO.VALOR_ADJUDICADO DESC;",Correto,phi4
14,SELECT COUNT(*) AS total_licitacoes FROM dbo.LICITACAO WHERE VALOR_ESTIMADO > 500000 AND VALOR_ESTIMADO < 1000000 AND ANO_LICITACAO = 2023;,Correto,phi4
15,SELECT TOP 1 e.NOME FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE ORDER BY l.DATA_CADASTRO_PUBLICACAO DESC;,Correto,phi4
