ID_Pergunta,Consulta_SQL,Modelo
1,SELECT NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO=2024 ORDER BY VALOR_ESTIMADO DESC LIMIT 1,gemma2-9b-it
2,SELECT TOP 1 VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC,gemma2-9b-it
3,SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM LICITACAO WHERE NUMERO_LICITACAO='681',gemma2-9b-it
4,"SELECT  LICITACAO.NUMERO_LICITACAO, LICITACAO.VALOR_ESTIMADO, LICITACAO.DATA_ABERTURA
FROM LICITACAO
WHERE  LICITACAO.ANO_LICITACAO = 2024 AND  LICITACAO.OBJETO_LICITACAO LIKE '%aquisição de livros%'",gemma2-9b-it
5,"SELECT TOP 1 LICITACAO.NUMERO_LICITACAO 
FROM LICITACAO 
WHERE ANO_LICITACAO = 2023 
ORDER BY LICITACAO.VALOR_ADJUDICADO DESC",gemma2-9b-it
6,SELECT FASE FROM LICITACAO WHERE NUMERO_LICITACAO = '710',gemma2-9b-it
7,"SELECT TOP 3 NUMERO_LICITACAO,VALOR_ADJUDICADO
FROM LICITACAO
WHERE ANO_LICITACAO = 2024
ORDER BY VALOR_ADJUDICADO DESC",gemma2-9b-it
8,SELECT VALOR_ESTIMADO FROM LICITACAO WHERE NUMERO_LICITACAO = '759',gemma2-9b-it
9,"SELECT  MODALIDADE_LICITACAO.NOME 
FROM LICITACAO
JOIN MODALIDADE_LICITACAO ON LICITACAO.ID_MODALIDADE_LICITACAO_NOVA = MODALIDADE_LICITACAO.ID_MODALIDADE_LICITACAO 
WHERE LICITACAO.OBJETO_LICITACAO LIKE '%medicamentos'  
ORDER BY LICITACAO.DATA_ABERTURA DESC 
LIMIT 1",gemma2-9b-it
10,SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = 2023,gemma2-9b-it
11,"SELECT COUNT(*)
FROM LICITACAO
WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000 AND STATUS_OCORRENCIA_LICITACAO_ATUAL = 'Aberta'",gemma2-9b-it
12,SELECT COUNT(*)  FROM LICITACAO WHERE ID_ENTIDADE = (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'TRIBUNAL DE JUSTIÇA') AND  ANO_LICITACAO = 2024,gemma2-9b-it
13,"SELECT TOP 1 * 
FROM LICITACAO
WHERE ANO_LICITACAO = 2023 AND ID_ENTIDADE = (SELECT ID_ENTIDADE FROM ENTIDADE WHERE NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE')
ORDER BY VALOR_ADJUDICADO DESC",gemma2-9b-it
14,SELECT COUNT(*) FROM LICITACAO WHERE VALOR_ESTIMADO BETWEEN 500000 AND 1000000 AND ANO_LICITACAO = 2023,gemma2-9b-it
15,"SELECT E.NOME 
FROM dbo.LICITACAO L
INNER JOIN dbo.ENTIDADE E ON L.ID_ENTIDADE = E.ID_ENTIDADE
WHERE L.DATA_CADASTRO_PUBLICACAO = (SELECT MAX(DATA_CADASTRO_PUBLICACAO) FROM dbo.LICITACAO)",gemma2-9b-it
16,SELECT COUNT(*) FROM LICITACAO WHERE ID_MODALIDADE_LICITACAO_NOVA = 'Concurso',gemma2-9b-it
17,"SELECT e.NOME, SUM(l.VALOR_ADJUDICADO) AS VALOR_TOTAL_ADJUDICADO  
FROM LICITACAO l  
JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE  
WHERE YEAR(l.DATA_ABERTURA) >= YEAR(GETDATE()) - 5  
GROUP BY e.NOME  
ORDER BY SUM(l.VALOR_ADJUDICADO) DESC  
OFFSET 0 ROWS FETCH NEXT 3 ROWS ONLY",gemma2-9b-it
18,"SELECT COUNT(*) 
FROM LICITACAO 
WHERE VALOR_ESTIMADO > (SELECT AVG(VALOR_ESTIMADO) FROM LICITACAO WHERE ANO_LICITACAO = LICITACAO.ANO_LICITACAO)",gemma2-9b-it
19,"SELECT FASE, COUNT(*) AS TOTAL_LICITACAO FROM LICITACAO GROUP BY FASE",gemma2-9b-it
20,"SELECT 
strftime('%Y-%m', DATA_ABERTURA) AS Mes, 
COUNT(NUMERO_LICITACAO) AS TotalLicitacoes
FROM LICITACAO
WHERE DATA_ABERTURA >= DATEADD(month, -6, GETDATE())
GROUP BY Mes
ORDER BY Mes;",gemma2-9b-it
21,"SELECT dbo.ENTIDADE.NOME, COUNT(dbo.LICITACAO.ID_ENTIDADE) AS NUMERO_LICITACAOES FROM dbo.LICITACAO  INNER JOIN dbo.ENTIDADE ON dbo.LICITACAO.ID_ENTIDADE = dbo.ENTIDADE.ID_ENTIDADE GROUP BY dbo.ENTIDADE.NOME ORDER BY NUMERO_LICITACAOES DESC LIMIT 1",gemma2-9b-it
22,"SELECT COUNT(DISTINCT ANO_LICITACAO) AS QuantidadeLicitacoes
FROM LICITACAO
WHERE ANO_LICITACAO >= 2020  
GROUP BY ANO_LICITACAO  
ORDER BY ANO_LICITACAO",gemma2-9b-it
23,"SELECT  e.NOME , COUNT(l.NUMERO_LICITACAO) AS NUMERO_LICITACOES FROM LICITACAO l  
INNER JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE GROUP BY e.NOME ORDER BY NUMERO_LICITACOES ASC LIMIT 1;",gemma2-9b-it
24,"SELECT e.NOME, COUNT(l.NUMERO_LICITACAO) AS NUMERO_LICITACOES
FROM LICITACAO l
JOIN ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE
WHERE YEAR(l.DATA_CADASTRO_PUBLICACAO) = 2023
GROUP BY e.NOME
HAVING COUNT(l.NUMERO_LICITACAO) > 100  
ORDER BY NUMERO_LICITACOES DESC;",gemma2-9b-it
