ID_Pergunta,Consulta_SQL,Modelo
1,SELECT TOP 1 NUMERO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC,deepseek-r1-distill-llama-70b
2,SELECT MAX(VALOR_ESTIMADO) AS MAIOR_VALOR FROM LICITACAO WHERE ANO_LICITACAO = 2023,deepseek-r1-distill-llama-70b
3,SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM LICITACAO WHERE NUMERO_LICITACAO = '681',deepseek-r1-distill-llama-70b
4,"SELECT NUMERO_LICITACAO, OBJETO_LICITACAO FROM LICITACAO WHERE ANO_LICITACAO = 2024 AND OBJETO_LICITACAO LIKE '%aquisição de livros%'",deepseek-r1-distill-llama-70b
5,"SELECT TOP 1 NUMERO_LICITACAO, VALOR_ESTIMADO, MAX(VALOR_ADJUDICADO) AS MaiorValorAdjudicado FROM LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC",deepseek-r1-distill-llama-70b
6,SELECT FASE FROM LICITACAO WHERE NUMERO_LICITACAO = '710',deepseek-r1-distill-llama-70b
7,"```sql
SELECT TOP 3 [NUMERO_LICITACAO], [VALOR_ADJUDICADO] FROM [LICITACAO] WHERE [ANO_LICITACAO] = 2024 ORDER BY [VALOR_ADJUDICADO] DESC
```",deepseek-r1-distill-llama-70b
8,SELECT VALOR_ADJUDICADO FROM LICITACAO WHERE NUMERO_LICITACAO = '759',deepseek-r1-distill-llama-70b
9,SELECT TOP 1 ML.NOME FROM LICITACAO L INNER JOIN MODALIDADE_LICITACAO ML ON L.ID_MODALIDADE_LICITACAO_NOVA = ML.ID_MODALIDADE_LICITACAO WHERE L.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY L.DATA_CADASTRO_PUBLICACAO DESC,deepseek-r1-distill-llama-70b
10,SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM LICITACAO WHERE ANO_LICITACAO = 2023,deepseek-r1-distill-llama-70b
